,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
28,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5400454545454545,1.0,0.08009090909090909,0.1483040148135679
29,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5437272727272727,1.0,0.08745454545454545,0.16084266845009196
30,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.539,0.520352974665528,0.9970909090909091,0.6838331566805912
31,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5398181818181819,0.5207878500237304,0.9975454545454545,0.6843155597131275
32,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5387272727272727,0.5201972311776977,0.9974545454545455,0.6837841206531222
33,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5359545454545455,0.5186882767093512,0.9979090909090909,0.6825855797033858
34,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5397727272727273,0.5207651051307608,0.9974545454545455,0.6842745330381365
35,Gaussian Naive Bayes,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.5367272727272727,0.5191179254211622,0.9972727272727273,0.6828084152869414
36,Gaussian Naive Bayes,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5368636363636363,0.5191843686426645,0.9976363636363637,0.6829511155366088
37,Gaussian Naive Bayes,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5365,0.5189843491418034,0.9978181818181818,0.6828206165044014
