,Mutual information,Importance,Correlation,Variance,Abs Correlation,Colunas
0,0.05518710142486505,0.021675315397809924,0.048094808456625136,459048493.5986567,0.048094808456625136,Src Port
1,0.09083121154283624,0.02861640766453335,0.1331691131494197,371723719.47092366,0.1331691131494197,Dst Port
2,0.19819205830437725,0.011126480622717042,-0.007363518094356249,26.99031474558157,0.007363518094356249,Protocol
3,0.05675244746508047,0.010391794683024107,0.0061581820266836396,1467099414963772.5,0.0061581820266836396,Flow Duration
4,0.01989545819813876,0.003072923359485872,0.05378596457256191,34106.10128026092,0.05378596457256191,Total Fwd Packet
5,0.011198599797273669,0.0023751062370217704,0.04493954836351528,60409.785459446975,0.04493954836351528,Total Bwd packets
6,0.05990944934751141,0.0019488453984555,0.02952531370632252,54199553016.84368,0.02952531370632252,Total Length of Fwd Packet
7,0.025981013258519647,0.0013198544691468107,0.03301394356200574,106540393567.3634,0.03301394356200574,Total Length of Bwd Packet
8,0.05506476519826409,0.009618569405908814,0.03385229690418582,115796.69966814252,0.03385229690418582,Fwd Packet Length Max
9,0.02665135751278957,0.004784218316476446,-0.04723369062933978,4681.729176338307,0.04723369062933978,Fwd Packet Length Min
10,0.05567859994742386,0.006818479866979321,0.004596756229798328,16753.458155587654,0.004596756229798328,Fwd Packet Length Mean
11,0.043806468453960516,0.006897709794977113,0.019237456983358683,19903.046845387442,0.019237456983358683,Fwd Packet Length Std
12,0.04356775007930014,0.007961665478588368,-0.018961071385212143,239272.2410381539,0.018961071385212143,Bwd Packet Length Max
13,0.01906326408117076,0.005690568165924267,-0.06655309552475695,4928.35679340785,0.06655309552475695,Bwd Packet Length Min
14,0.04088923464203354,0.006718553677644111,-0.04111266576058304,73436.0207834899,0.04111266576058304,Bwd Packet Length Mean
15,0.03735977489943454,0.0069292244742692344,-0.019890776191569003,43316.333423569136,0.019890776191569003,Bwd Packet Length Std
16,0.04614319134441214,0.003267189755479527,-0.023174574558984532,336198154111.1616,0.023174574558984532,Flow Bytes/s
17,0.05417425432628331,0.008102458094285725,0.08734549367664604,903433046.313918,0.08734549367664604,Flow Packets/s
18,0.05497226827036883,0.0053822043705112075,-0.034417866682481764,114517079185335.78,0.034417866682481764,Flow IAT Mean
19,0.04110177078388455,0.0044334864516199475,0.004441114323167785,58611188888148.2,0.004441114323167785,Flow IAT Std
20,0.07153696133910792,0.006289178592440234,-0.0032376141156837145,423339974907567.6,0.0032376141156837145,Flow IAT Max
